index,IV
P_2,2.8617520186360688
D_48,1.9794548525316902
D_77,1.81501770666742
D_61,1.7149397831993047
D_75,1.5792451729832966
B_18,1.5234662392720502
B_7,1.5173536723289947
B_10,1.5081469895413895
D_62,1.5041877496781801
B_23,1.4847161858166142
D_44,1.435339362653428
B_6,1.400841129735749
B_9,1.3726883741137947
D_42,1.3653656053526837
D_55,1.258187634975523
D_74,1.2377094150521737
B_3,1.208528421591175
B_1,1.1941019115598535
B_40,1.1864357322907642
B_37,1.1722518633667438
D_58,1.1704835641775309
B_2,1.1632670008537052
B_4,1.1325140744366973
B_11,1.1163868662861471
B_38,1.113323522819273
D_76,1.092700264154767
B_33,1.05707781170948
B_20,1.0188517265689698
S_3,0.8750610052801706
S_7,0.8302075303154408
B_16,0.7939813957461215
D_52,0.7939473388805026
B_19,0.7335235858743849
D_50,0.6834664814898846
D_45,0.6502607173697836
B_28,0.6301239134704725
S_22,0.6135820653989483
B_22,0.5854807284064172
R_1,0.5824939935774305
D_43,0.5702134313717535
R_26,0.5671487906014481
D_47,0.5605324348651959
B_25,0.555112352667547
D_51,0.5220264991978745
B_14,0.5215184578365663
S_24,0.5046309134881612
B_8,0.503562517968809
D_60,0.48439227082319536
S_25,0.4839072573287528
D_53,0.48063812021194274
R_3,0.47770482984076656
P_3,0.4642646965152311
S_23,0.44012066965961777
R_27,0.43946099985123627
D_70,0.4296617675908352
D_56,0.3575024130835089
S_8,0.3475120287258574
D_127,0.3364640947691264
B_17,0.33173944808087985
D_46,0.3279262703825848
D_41,0.3015741596471147
B_5,0.2905554248716916
D_78,0.29025261051330126
S_15,0.27825579507475917
S_27,0.2643042360108756
P_4,0.25250448058049907
D_71,0.24809261143369865
D_112,0.24417989428898285
D_64,0.23384495619513673
D_59,0.22785626821527866
D_79,0.21682713179122587
D_115,0.21308382888188504
D_131,0.20920671220300371
D_39,0.20577280279620586
B_12,0.20261375740409185
D_118,0.19893540290528788
S_5,0.1962631572876271
D_119,0.1938204826437404
D_121,0.1828225036607278
D_130,0.18117185085707693
D_128,0.18053621832572145
D_122,0.17076328446072075
D_68,0.1706545599164957
B_13,0.16830206606867407
D_113,0.1480175743195496
D_117,0.1473732780529894
D_132,0.14688486027441514
R_2,0.1418631756357852
D_92,0.13425281929867822
D_84,0.13409488914742745
D_133,0.1282268826556648
R_10,0.11763816802929773
D_107,0.11533374084135754
D_104,0.11474111153200815
D_129,0.10990180039258565
D_102,0.10432782684250265
D_91,0.10330164957647676
D_103,0.09829331770273839
D_72,0.09606250570840655
R_6,0.09489919207978964
D_145,0.08512756666844383
B_26,0.08023203229282799
D_141,0.07395759756518508
D_65,0.07215804013688376
D_139,0.0716892750225342
D_143,0.07104983009083815
S_13,0.07011724421058166
S_11,0.06975128071842669
R_16,0.06717577938913019
R_5,0.06619436494568337
D_81,0.06456834122909488
S_26,0.06293887688076268
D_142,0.059701557681844014
R_4,0.057415937481476276
R_7,0.055888730437724805
D_63,0.04997027485598683
S_6,0.04759853970968284
B_24,0.0445217012722825
D_124,0.04348127645185884
D_106,0.04122572171379211
S_9,0.04077600345249835
D_69,0.03900229786952527
R_12,0.03714090717434932
R_11,0.03567257639372829
S_2,0.03467482968900472
R_8,0.03240796942133263
D_82,0.03212308287063732
D_126,0.02927631926840767
B_30,0.026922586898259264
B_21,0.02388490749504713
D_54,0.023119904175043022
R_14,0.02128346372608115
R_21,0.02017837465886112
S_16,0.020173810199358308
S_12,0.020022313820338568
D_80,0.019254984141821956
R_20,0.01790865238792794
R_24,0.017852299938452075
D_49,0.01691933771157248
D_140,0.016588979775534203
D_105,0.015049186242485631
D_125,0.014883967547750728
D_83,0.014505431090210567
B_32,0.011589366972418849
D_86,0.010616331510943659
R_15,0.010536466732928105
B_41,0.010365015763816354
D_89,0.009219950543241436
D_96,0.009186605927778254
R_19,0.008278031727754917
D_123,0.007553212922891812
S_20,0.006941769817782359
R_13,0.005971122923190253
B_15,0.005158632769701148
R_17,0.004641635849150902
D_94,0.0034905259677323695
S_17,0.0034295560308753217
R_22,0.001783136424142291
R_25,0.0016504361164956767
B_36,0.0012420004720582424
S_19,0.0011807743603424721
S_18,0.0011209772767295995
D_93,0.0011067695768099302
D_144,0.0010872196496425751
R_28,0.0010472858690865462
B_27,0.0009660500827498376
R_18,0.0006711945784969966
R_23,0.0003996623453446695
D_109,0.00025616753422329344
B_31,0.0
D_66,0.0
D_120,0.0
D_114,0.0
